           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,            236,   45.60000    ,   25.43143    ,   11.70000    ,   1.243872    ,
           1980,            237,   44.30000    ,   21.52956    ,   12.10000    ,   1.934703    ,
           1980,            238,   44.60000    ,   22.99705    ,   12.90000    ,   1.583951    ,
           1980,            239,   45.80000    ,   24.65978    ,   13.90000    ,   1.273366    ,
           1980,            240,   47.40000    ,   21.92089    ,   14.90000    ,   1.243574    ,
           1980,            241,   49.10000    ,   17.66768    ,   14.10000    ,   1.229014    ,
           1980,            242,   45.70000    ,   19.99028    ,   12.60000    ,   1.209691    ,
           1980,            243,   43.30000    ,   17.02791    ,   11.90000    ,   1.209029    ,
           1980,            244,   45.00000    ,   16.58513    ,   11.60000    ,   1.215597    ,
           1980,            245,   42.80000    ,   18.64330    ,   10.60000    ,   1.200333    ,
           1980,            246,   40.80000    ,   20.50926    ,   10.40000    ,   3.030809    ,
           1980,            247,   41.20000    ,   42.49685    ,   11.00000    ,   10.96910    ,
           1980,            248,   46.20000    ,   27.48558    ,   10.80000    ,   3.954356    ,
           1980,            249,   44.40000    ,   22.60872    ,   10.00000    ,   2.275882    ,
           1980,            250,   41.20000    ,   23.93281    ,   9.130000    ,   1.878927    ,
           1980,            251,   38.60000    ,   20.36929    ,   8.530000    ,   5.088332    ,
           1980,            252,   36.30000    ,   51.30035    ,   8.040000    ,   18.93732    ,
           1980,            253,   40.80000    ,   28.40763    ,   9.520000    ,   1.955757    ,
           1980,            254,   43.90000    ,   23.60705    ,   8.850000    ,   1.383412    ,
           1980,            255,   40.50000    ,   22.48958    ,   8.580000    ,   1.280014    ,
           1980,            256,   38.30000    ,   27.35877    ,   7.950000    ,   31.26703    ,
           1980,            257,   36.10000    ,   168.8662    ,   7.750000    ,   50.73973    ,
           1980,            258,   36.70000    ,   69.17210    ,   7.780000    ,   5.552206    ,
           1980,            259,   36.20000    ,   20.48709    ,   7.690000    ,   2.467914    ,
           1980,            260,   36.30000    ,   17.46767    ,   7.980000    ,   1.380911    ,
           1980,            261,   37.70000    ,   37.30871    ,   8.370000    ,   30.38585    ,
           1980,            262,   39.20000    ,   75.81749    ,   9.170000    ,   16.78596    ,
           1980,            263,   43.10000    ,   50.30064    ,   11.60000    ,   27.34790    ,
           1980,            264,   47.20000    ,   59.12424    ,   11.10000    ,   13.42362    ,
           1980,            265,   44.80000    ,   27.68179    ,   10.30000    ,   3.905748    ,
           1980,            266,   42.60000    ,   15.10203    ,   9.550000    ,   2.060033    ,
           1980,            267,   38.80000    ,   7.335365    ,   8.520000    ,   1.181078    ,
           1980,            268,   36.20000    ,   4.826073    ,   7.900000    ,   1.094784    ,
           1980,            269,   34.30000    ,   4.433979    ,   7.400000    ,   1.085475    ,
           1980,            270,   32.40000    ,   4.778489    ,   7.050000    ,   1.083087    ,
           1980,            271,   30.80000    ,   6.601051    ,   6.820000    ,   1.986807    ,
           1980,            272,   29.60000    ,   12.28760    ,   6.580000    ,   5.192969    ,
           1980,            273,   29.00000    ,   19.03440    ,   6.400000    ,   13.27308    ,
           1980,            274,   28.40000    ,   115.2691    ,   6.360000    ,   18.99575    ,
           1980,            275,   30.30000    ,   37.91266    ,   7.230000    ,   3.956568    ,
           1980,            276,   33.90000    ,   12.67725    ,   6.930000    ,   1.259619    ,
           1980,            277,   31.30000    ,   10.31995    ,   6.260000    ,   1.231961    ,
           1980,            278,   29.20000    ,   9.846603    ,   5.800000    ,   1.352660    ,
           1980,            279,   27.90000    ,   9.980103    ,   5.490000    ,   1.678740    ,
           1980,            280,   25.80000    ,   10.97805    ,   5.020000    ,   2.019473    ,
           1980,            281,   24.70000    ,   12.67612    ,   4.740000    ,   2.607160    ,
           1980,            282,   24.60000    ,   13.21856    ,   4.570000    ,   3.228833    ,
           1980,            283,   23.90000    ,   9.054923    ,   4.480000    ,   1.671846    ,
           1980,            284,   23.20000    ,   4.937976    ,   4.390000    ,   1.074443    ,
           1980,            285,   22.70000    ,   4.715541    ,   4.330000    ,   1.029776    ,
           1980,            286,   22.30000    ,   5.352236    ,   4.180000    ,   1.026182    ,
           1980,            287,   21.60000    ,   5.868717    ,   4.050000    ,   1.023328    ,
           1980,            288,   21.10000    ,   4.839646    ,   3.940000    ,   1.018409    ,
           1980,            289,   20.70000    ,   4.543083    ,   3.930000    ,   1.009951    ,
           1980,            290,   20.40000    ,   4.258989    ,   3.830000    ,   1.003962    ,
           1980,            291,   19.90000    ,   5.301399    ,   3.730000    ,   1.005354    ,
           1980,            292,   19.70000    ,   6.109205    ,   3.840000    ,   1.003952    ,
           1980,            293,   20.30000    ,   5.631996    ,   4.390000    ,  0.9982020    ,
           1980,            294,   21.90000    ,   5.656616    ,   4.550000    ,  0.9925840    ,
           1980,            295,   20.90000    ,   4.588824    ,   4.400000    ,  0.9860705    ,
           1980,            296,   21.00000    ,   3.257026    ,   4.470000    ,  0.9797137    ,
           1980,            297,   20.00000    ,   3.067507    ,   4.080000    ,  0.9755085    ,
           1980,            298,   19.30000    ,   3.037638    ,   3.940000    ,  0.9716000    ,
           1980,            299,   19.00000    ,   3.025837    ,   3.820000    ,  0.9677236    ,
           1980,            300,   18.60000    ,   3.015898    ,   3.710000    ,  0.9638564    ,
           1980,            301,   18.20000    ,   3.006129    ,   3.600000    ,  0.9599988    ,
